date,city,state,weather,road_type,visibility,traffic_density,festival,cause,day_of_week,hour,is_weekend,is_peak_hour,temperature,lanes,traffic_signal,vehicles_involved,casualties,risk_score,latitude,longitude,accident_severity
2024-01-26,Mumbai,Maharashtra,Foggy,Highway,High,Low,None,Poor Road Condition,Friday,23,0,0,13,5,1,1,0,27.5,18.969064,72.918507,minor
2025-10-27,Chennai,Tamil Nadu,Cloudy,Highway,Medium,High,Diwali,Speeding,Monday,22,0,0,18,6,1,3,2,32.44,13.265585,80.205338,fatal
2025-01-24,Mumbai,Maharashtra,Foggy,Urban,Low,Medium,None,Distracted Driving,Friday,3,0,0,42,1,1,1,4,43.45,19.127456,73.031881,major
2025-08-14,Hyderabad,Telangana,Clear,Highway,Low,Low,Diwali,Speeding,Thursday,6,0,0,22,1,1,3,3,70.85,17.330933,78.434772,major
2025-11-17,Chennai,Tamil Nadu,Clear,Rural,Low,Low,Christmas,Over-speeding,Monday,8,0,1,18,4,1,3,4,37.57,13.012413,80.378025,minor
2024-08-22,Delhi,Delhi,Foggy,Urban,Medium,Low,Holi,Poor Road Condition,Thursday,1,0,0,28,2,1,4,3,31.43,28.469752,77.306996,minor
2025-08-21,Kolkata,West Bengal,Cloudy,Urban,High,Low,Christmas,Distracted Driving,Thursday,13,0,0,13,1,0,2,1,83.37,22.541464,88.189311,minor
2025-09-02,Jaipur,Rajasthan,Foggy,Rural,High,High,None,Poor Road Condition,Tuesday,14,0,0,25,6,1,1,2,54.78,26.893889,75.968826,fatal
2025-05-27,Kolkata,West Bengal,Clear,Rural,Medium,High,Christmas,Poor Road Condition,Tuesday,5,0,0,20,2,1,2,4,96.28,22.741574,88.531297,major
2025-05-15,Hyderabad,Telangana,Clear,Urban,Medium,Low,None,Over-speeding,Thursday,0,0,0,13,1,1,1,4,81.27,17.236357,78.476813,major
2024-09-28,Bengaluru,Karnataka,Cloudy,Highway,Low,High,Holi,Drunk Driving,Saturday,16,1,0,33,6,1,4,4,56.12,12.870762,77.42021,minor
2025-08-25,Delhi,Delhi,Rainy,Rural,High,Low,None,Speeding,Monday,17,0,1,22,1,0,3,0,61.13,28.525291,77.203166,fatal
2025-08-07,Bengaluru,Karnataka,Cloudy,Highway,Medium,Medium,Holi,Speeding,Thursday,18,0,1,14,6,1,3,3,52.89,13.117135,77.416268,major
2024-03-03,Mumbai,Maharashtra,Foggy,Highway,High,Low,Holi,Poor Road Condition,Sunday,12,1,0,36,2,1,2,2,57.01,19.225794,72.707854,minor
2024-02-21,Mumbai,Maharashtra,Clear,Highway,High,Low,Eid,Distracted Driving,Wednesday,20,0,0,38,2,1,1,1,50.32,19.270124,72.783781,minor
2024-10-19,Pune,Maharashtra,Cloudy,Highway,High,Medium,Holi,Speeding,Saturday,13,1,0,42,1,1,1,0,66.73,18.52154,73.997788,minor
2024-02-28,Bengaluru,Karnataka,Clear,Highway,High,High,None,Over-speeding,Wednesday,16,0,0,33,1,0,5,4,23.18,12.804393,77.657549,minor
2024-09-24,Hyderabad,Telangana,Foggy,Highway,Medium,Medium,Holi,Drunk Driving,Tuesday,6,0,0,37,3,0,1,3,69.69,17.410197,78.326692,minor
2025-06-02,Chennai,Tamil Nadu,Rainy,Urban,High,Low,Diwali,Drunk Driving,Monday,8,0,1,18,4,1,5,4,20.63,13.209542,80.190452,minor
2024-05-17,Mumbai,Maharashtra,Clear,Highway,Low,High,Holi,Drunk Driving,Friday,8,0,1,26,5,0,3,1,75.0,19.217165,72.879864,minor
2024-02-22,Kolkata,West Bengal,Cloudy,Urban,High,Low,Diwali,Over-speeding,Thursday,2,0,0,24,2,1,5,3,64.87,22.41735,88.54192,major
2025-07-12,Bengaluru,Karnataka,Foggy,Rural,Low,Low,Eid,Over-speeding,Saturday,1,1,0,10,3,1,1,2,36.81,12.871412,77.435717,minor
2025-09-27,Jaipur,Rajasthan,Rainy,Highway,High,Low,Eid,Speeding,Saturday,23,1,0,19,6,1,4,1,41.34,27.02735,75.630538,minor
2025-04-26,Delhi,Delhi,Rainy,Urban,Medium,Medium,Holi,Over-speeding,Saturday,7,1,0,9,6,0,4,2,42.29,28.441668,77.318331,minor
2025-10-18,Hyderabad,Telangana,Cloudy,Rural,Low,Medium,None,Speeding,Saturday,16,1,0,24,2,1,1,0,67.73,17.323275,78.601271,minor
2025-09-12,Jaipur,Rajasthan,Clear,Urban,Low,Low,Diwali,Speeding,Friday,16,0,0,35,1,0,3,3,25.6,26.978095,75.71938,major
2025-11-10,Hyderabad,Telangana,Foggy,Rural,Medium,High,Eid,Drunk Driving,Monday,3,0,0,33,6,1,5,1,35.35,17.450972,78.438358,minor
2025-09-22,Bengaluru,Karnataka,Foggy,Urban,Low,Low,Diwali,Drunk Driving,Monday,18,0,1,21,4,1,4,3,55.37,12.857081,77.583874,minor
2025-11-05,Bengaluru,Karnataka,Foggy,Rural,Low,High,Christmas,Drunk Driving,Wednesday,2,0,0,13,2,1,2,1,31.79,12.790085,77.788174,major
2025-04-11,Mumbai,Maharashtra,Rainy,Rural,Low,Medium,Eid,Distracted Driving,Friday,13,0,0,23,2,0,1,3,37.51,19.197644,72.956065,minor
2024-02-21,Pune,Maharashtra,Rainy,Highway,Medium,Low,Eid,Poor Road Condition,Wednesday,17,0,1,28,4,1,5,3,91.78,18.617862,73.84657,major
2024-09-10,Kolkata,West Bengal,Foggy,Rural,Medium,High,Holi,Drunk Driving,Tuesday,20,0,0,36,1,1,2,2,46.87,22.729811,88.196131,minor
2024-08-24,Bengaluru,Karnataka,Rainy,Rural,High,Low,Eid,Distracted Driving,Saturday,12,1,0,29,5,1,4,0,36.55,12.939657,77.756535,minor
2025-08-12,Delhi,Delhi,Cloudy,Highway,Medium,Medium,Eid,Distracted Driving,Tuesday,12,0,0,42,6,0,4,1,41.83,28.608157,77.164543,fatal
2024-06-18,Jaipur,Rajasthan,Rainy,Rural,Low,Low,Eid,Poor Road Condition,Tuesday,14,0,0,9,1,1,2,3,34.54,26.816463,75.718241,fatal
2024-11-30,Pune,Maharashtra,Cloudy,Urban,Medium,Medium,None,Distracted Driving,Saturday,10,1,1,9,6,0,3,1,72.01,18.632893,73.917402,major
2024-09-10,Delhi,Delhi,Clear,Rural,High,Low,Holi,Distracted Driving,Tuesday,6,0,0,15,5,0,4,2,81.35,28.481016,77.251899,minor
2024-06-16,Mumbai,Maharashtra,Clear,Rural,High,Medium,Christmas,Distracted Driving,Sunday,9,1,1,33,6,0,1,4,75.25,19.126897,72.718461,minor
2025-12-01,Kolkata,West Bengal,Clear,Rural,High,Medium,Christmas,Distracted Driving,Monday,19,0,1,31,1,1,1,3,85.79,22.414816,88.548215,major
2025-12-25,Pune,Maharashtra,Cloudy,Highway,Low,High,Diwali,Poor Road Condition,Thursday,4,0,0,42,4,1,4,4,41.47,18.661085,73.988992,minor
2024-10-12,Mumbai,Maharashtra,Rainy,Urban,Low,High,Eid,Drunk Driving,Saturday,14,1,0,9,4,1,2,3,36.97,19.195133,72.813836,minor
2025-07-23,Kolkata,West Bengal,Rainy,Highway,High,High,Eid,Distracted Driving,Wednesday,0,0,0,23,6,1,4,3,83.43,22.409821,88.252539,minor
2024-11-09,Chennai,Tamil Nadu,Foggy,Urban,Low,High,Diwali,Distracted Driving,Saturday,21,1,0,29,3,1,3,2,40.11,12.930962,80.147734,minor
2025-07-02,Mumbai,Maharashtra,Rainy,Highway,High,High,Eid,Drunk Driving,Wednesday,22,0,0,41,5,1,1,1,43.7,19.020352,72.798607,fatal
2024-10-07,Bengaluru,Karnataka,Clear,Rural,Medium,High,Holi,Distracted Driving,Monday,1,0,0,14,1,1,4,3,55.24,12.845345,77.415151,minor
2024-04-26,Pune,Maharashtra,Cloudy,Urban,High,High,None,Over-speeding,Friday,2,0,0,17,5,1,1,1,29.48,18.626177,73.899227,major
2025-06-19,Chennai,Tamil Nadu,Cloudy,Urban,Medium,High,Eid,Drunk Driving,Thursday,12,0,0,11,5,0,2,1,41.17,12.915175,80.166646,minor
2024-06-09,Mumbai,Maharashtra,Cloudy,Urban,Low,High,Eid,Drunk Driving,Sunday,0,1,0,10,2,1,3,3,25.69,18.96937,72.783522,minor
2025-03-11,Chennai,Tamil Nadu,Rainy,Rural,High,Medium,Holi,Speeding,Tuesday,3,0,0,11,2,1,5,4,93.7,13.058361,80.258179,minor
2025-12-17,Kolkata,West Bengal,Foggy,Rural,Low,Medium,Eid,Speeding,Wednesday,12,0,0,10,4,1,5,2,22.07,22.46417,88.433619,minor
2025-11-19,Delhi,Delhi,Clear,Highway,Medium,High,Eid,Drunk Driving,Wednesday,8,0,1,19,5,1,4,0,57.6,28.577239,77.137423,fatal
2024-06-13,Mumbai,Maharashtra,Cloudy,Rural,Medium,Medium,Eid,Poor Road Condition,Thursday,10,0,1,10,4,0,3,2,45.86,19.264074,72.83937,major
2025-11-04,Delhi,Delhi,Cloudy,Urban,High,Low,Christmas,Drunk Driving,Tuesday,17,0,1,39,6,1,1,1,41.36,28.466305,77.124212,fatal
2024-05-04,Pune,Maharashtra,Rainy,Rural,High,Medium,Christmas,Speeding,Saturday,0,1,0,34,1,0,1,3,95.76,18.579484,73.718288,fatal
2025-06-05,Kolkata,West Bengal,Foggy,Urban,Medium,Medium,Holi,Distracted Driving,Thursday,22,0,0,17,4,0,5,4,79.7,22.427203,88.191824,major
2024-12-14,Jaipur,Rajasthan,Foggy,Highway,Medium,High,Diwali,Poor Road Condition,Saturday,16,1,0,39,2,1,5,3,47.61,26.933167,75.804672,fatal
2024-11-25,Pune,Maharashtra,Rainy,Rural,Medium,Low,Eid,Speeding,Monday,6,0,0,28,6,1,4,3,99.07,18.637357,73.917508,minor
2025-05-22,Bengaluru,Karnataka,Rainy,Rural,Low,Medium,None,Distracted Driving,Thursday,1,0,0,14,5,1,1,1,52.8,13.033513,77.456344,minor
2024-09-28,Pune,Maharashtra,Cloudy,Rural,High,Medium,Christmas,Distracted Driving,Saturday,10,1,1,28,6,1,5,0,69.4,18.414308,73.93046,minor
